dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
6197	0.215	19317	16541	14735	19110	4156
6239	0.215	19317	16531	14735	19128	4172
6282	0.217	19317	16584	14735	19115	4194
6324	0.218	19317	16512	14735	19119	4215
6366	0.219	19317	16503	14735	19098	4238
6409	0.22	19317	16461	14735	19098	4263
6451	0.221	19317	16424	14735	19103	4287
6494	0.223	19317	16444	14735	19123	4313
6536	0.224	19317	16455	14735	19111	4333
6579	0.225	19317	16323	14735	19088	4359
6621	0.226	19317	16385	14735	19088	4379
6664	0.227	19317	16319	14735	19082	4401
6706	0.228	19317	16315	14735	19119	4420
6748	0.229	19317	16369	14735	19105	4441
6791	0.23	19317	16303	14735	19115	4461
6833	0.232	19317	16268	14735	19101	4482
6876	0.233	19317	16260	14735	19102	4505
6918	0.234	19317	16284	14735	19099	4529
6961	0.235	19317	16271	14735	19092	4553
7003	0.236	19317	16219	14735	19109	4572
7046	0.237	19317	16150	14735	19065	4593
7088	0.238	19317	16155	14735	19096	4614
7130	0.239	19317	16195	14735	19104	4633
7173	0.241	19317	16104	14735	19077	4660
7215	0.242	19317	16082	14735	19055	4683
7258	0.243	19317	16149	14735	19083	4705
7300	0.244	19317	16046	14735	19063	4724
7343	0.245	19317	16074	14735	19088	4742
7385	0.246	19317	16024	14735	19068	4759
7428	0.247	19317	16020	14735	19080	4780
7470	0.248	19317	15947	14735	19070	4802
7512	0.249	19317	16035	14735	19063	4822
7555	0.25	19317	15952	14735	19066	4844
7597	0.252	19317	15931	14735	19050	4871
7640	0.253	19317	15909	14735	19074	4889
7682	0.254	19317	15913	14735	19062	4909
7725	0.255	19317	15932	14735	19077	4930
7767	0.256	19317	15902	14735	19076	4954
7810	0.257	19317	15797	14735	19051	4974
7852	0.258	19317	15893	14735	19062	4991
7894	0.259	19317	15866	14735	19050	5017
7937	0.261	19317	15818	14735	19061	5044
7979	0.262	19317	15830	14735	19057	5065
8022	0.263	19317	15765	14735	19058	5089
8064	0.264	19317	15726	14735	19032	5113
8107	0.265	19317	15747	14735	19062	5135
8149	0.267	19317	15728	14735	19066	5162
8192	0.268	19317	15691	14735	19055	5182
8234	0.269	19317	15669	14735	19063	5208
8276	0.27	19317	15656	14735	19039	5231
8319	0.271	19317	15623	14735	19042	5250
8361	0.272	19317	15606	14735	19041	5273
8404	0.274	19317	15593	14735	19043	5293
8446	0.275	19317	15649	14735	19046	5318
8489	0.276	19317	15520	14735	19054	5335
8531	0.277	19317	15553	14735	19024	5357
8574	0.278	19317	15493	14735	19033	5387
8616	0.279	19317	15571	14735	19064	5407
8658	0.28	19317	15443	14735	19040	5426
8701	0.282	19317	15523	14735	19049	5452
8743	0.283	19317	15480	14735	19036	5475
8786	0.284	19317	15471	14735	19037	5495
8828	0.285	19317	15482	14735	19029	5517
8871	0.286	19317	15367	14735	19032	5538
8913	0.287	19317	15390	14735	19031	5562
8956	0.289	19317	15434	14735	19030	5583
8998	0.29	19317	15340	14735	19028	5608
9040	0.291	19317	15448	14735	19026	5634
9083	0.292	19317	15343	14735	19017	5653
9125	0.293	19317	15281	14735	19000	5672
9168	0.294	19317	15286	14735	19033	5693
9210	0.296	19317	15295	14735	19045	5718
9253	0.297	19317	15294	14735	19035	5739
9295	0.298	19317	15192	14735	19021	5761
9338	0.299	19317	15231	14735	19031	5779
9380	0.3	19317	15247	14735	19014	5799
9423	0.301	19317	15161	14735	19034	5819
9465	0.302	19317	15143	14735	19030	5836
9507	0.303	19317	15055	14735	19006	5854
9550	0.304	19317	15158	14735	18982	5875
9592	0.305	19317	15096	14735	19033	5898
9635	0.306	19317	15041	14735	19032	5920
9677	0.307	19317	15045	14735	18988	5944
9720	0.308	19317	14965	14735	19006	5966
9762	0.31	19317	15024	14735	19023	5992
9805	0.311	19317	15008	14735	18999	6017
9847	0.312	19317	14928	14735	19017	6039
9889	0.313	19317	14945	14735	19006	6057
9932	0.314	19317	14849	14735	18999	6078
9974	0.315	19317	14935	14735	18992	6099
10017	0.316	19317	14913	14735	18997	6120
10059	0.317	19317	14878	14735	19020	6138
10102	0.318	19317	14930	14735	18984	6162
10144	0.319	19317	14832	14735	19002	6177
