dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
2300	0.388	5407	3508	5237	5309	2101
2307	0.389	5407	3519	5237	5312	2107
2314	0.39	5407	3478	5237	5307	2114
2320	0.392	5407	3507	5237	5305	2120
2327	0.393	5407	3505	5237	5306	2125
2334	0.394	5407	3489	5237	5312	2131
2340	0.395	5407	3466	5237	5312	2137
2347	0.396	5407	3465	5237	5303	2143
2353	0.397	5407	3489	5237	5313	2149
2360	0.398	5407	3502	5237	5312	2155
2367	0.399	5407	3458	5237	5295	2162
2373	0.4	5407	3455	5237	5294	2167
2380	0.401	5407	3470	5237	5312	2173
2386	0.402	5407	3428	5237	5312	2178
2393	0.404	5407	3464	5237	5305	2185
2400	0.404	5407	3429	5237	5307	2189
2406	0.405	5407	3428	5237	5306	2193
2413	0.406	5407	3423	5237	5309	2199
2419	0.407	5407	3440	5237	5309	2203
2426	0.408	5407	3403	5237	5312	2210
2433	0.409	5407	3412	5237	5306	2215
2439	0.41	5407	3428	5237	5299	2220
2446	0.411	5407	3425	5237	5309	2226
2453	0.412	5407	3389	5237	5312	2230
2459	0.413	5407	3399	5237	5308	2236
2466	0.414	5407	3375	5237	5303	2242
2472	0.415	5407	3377	5237	5297	2247
2479	0.416	5407	3367	5237	5307	2254
2486	0.417	5407	3358	5237	5293	2260
2492	0.418	5407	3378	5237	5299	2265
2499	0.419	5407	3352	5237	5294	2270
2505	0.42	5407	3371	5237	5298	2274
2512	0.421	5407	3343	5237	5299	2281
2519	0.422	5407	3354	5237	5301	2285
2525	0.423	5407	3322	5237	5292	2289
2532	0.424	5407	3341	5237	5302	2295
2539	0.425	5407	3312	5237	5284	2300
2545	0.426	5407	3288	5237	5296	2305
2552	0.427	5407	3310	5237	5297	2310
2558	0.427	5407	3320	5237	5308	2314
2565	0.429	5407	3308	5237	5296	2320
2572	0.429	5407	3300	5237	5306	2325
2578	0.43	5407	3304	5237	5291	2328
2585	0.431	5407	3312	5237	5298	2332
2591	0.432	5407	3288	5237	5296	2338
2598	0.433	5407	3308	5237	5298	2344
2605	0.434	5407	3285	5237	5289	2351
2611	0.435	5407	3283	5237	5292	2356
2618	0.436	5407	3280	5237	5289	2361
2624	0.437	5407	3230	5237	5294	2367
2631	0.438	5407	3228	5237	5282	2372
2638	0.439	5407	3259	5237	5289	2378
2644	0.44	5407	3244	5237	5285	2384
2651	0.442	5407	3241	5237	5289	2390
2658	0.443	5407	3244	5237	5290	2396
2664	0.443	5407	3234	5237	5301	2400
2671	0.444	5407	3231	5237	5288	2406
2677	0.445	5407	3197	5237	5285	2410
2684	0.447	5407	3225	5237	5288	2417
2691	0.448	5407	3225	5237	5295	2423
2697	0.448	5407	3194	5237	5298	2427
2704	0.449	5407	3180	5237	5295	2432
2710	0.45	5407	3187	5237	5286	2438
2717	0.452	5407	3201	5237	5301	2444
2724	0.453	5407	3153	5237	5298	2450
2730	0.453	5407	3215	5237	5281	2454
2737	0.455	5407	3157	5237	5298	2461
2743	0.456	5407	3149	5237	5294	2466
2750	0.457	5407	3203	5237	5287	2472
2757	0.457	5407	3143	5237	5271	2476
2763	0.458	5407	3131	5237	5284	2480
2770	0.459	5407	3143	5237	5277	2486
2777	0.46	5407	3132	5237	5292	2489
2783	0.461	5407	3146	5237	5293	2495
2790	0.462	5407	3107	5237	5287	2500
2796	0.463	5407	3115	5237	5281	2506
2803	0.464	5407	3125	5237	5299	2511
2810	0.465	5407	3122	5237	5289	2517
2816	0.466	5407	3112	5237	5287	2523
2823	0.467	5407	3091	5237	5272	2529
2829	0.468	5407	3110	5237	5288	2533
2836	0.469	5407	3085	5237	5283	2540
2843	0.47	5407	3076	5237	5280	2545
2849	0.471	5407	3085	5237	5273	2551
2856	0.472	5407	3088	5237	5284	2556
2862	0.473	5407	3061	5237	5297	2560
2869	0.474	5407	3040	5237	5277	2566
2876	0.475	5407	3066	5237	5287	2570
2882	0.475	5407	3058	5237	5297	2573
2889	0.476	5407	3043	5237	5276	2579
2896	0.477	5407	3031	5237	5297	2582
2902	0.478	5407	3061	5237	5280	2585
2909	0.479	5407	2996	5237	5278	2591
2915	0.48	5407	3020	5237	5279	2596
2922	0.481	5407	3012	5237	5286	2602
2929	0.482	5407	2994	5237	5286	2609
2935	0.483	5407	3017	5237	5280	2612
2942	0.484	5407	2989	5237	5287	2618
2948	0.485	5407	2993	5237	5265	2623
2955	0.486	5407	3000	5237	5281	2629
2962	0.487	5407	2977	5237	5287	2634
2968	0.488	5407	2995	5237	5284	2639
2975	0.488	5407	2975	5237	5284	2644
2982	0.49	5407	2956	5237	5292	2651
2988	0.491	5407	2993	5237	5283	2655
2995	0.492	5407	2966	5237	5286	2662
3001	0.493	5407	2946	5237	5283	2666
3008	0.494	5407	2954	5237	5286	2672
3015	0.495	5407	2963	5237	5284	2679
3021	0.496	5407	2919	5237	5282	2684
3028	0.497	5407	2922	5237	5279	2691
3034	0.498	5407	2958	5237	5279	2697
3041	0.5	5407	2926	5237	5275	2704
3048	0.501	5407	2921	5237	5274	2710
3054	0.501	5407	2912	5237	5279	2711
3061	0.502	5407	2935	5237	5278	2718
3067	0.503	5407	2888	5237	5276	2723
3074	0.503	5407	2901	5237	5269	2725
3081	0.504	5407	2873	5237	5272	2730
3087	0.505	5407	2893	5237	5278	2735
3094	0.506	5407	2883	5237	5273	2738
