dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
4416	0.699	5407	1805	5237	5222	3784
4423	0.7	5407	1817	5237	5225	3789
4430	0.701	5407	1805	5237	5228	3795
4436	0.702	5407	1788	5237	5234	3800
4443	0.703	5407	1790	5237	5222	3805
4449	0.704	5407	1777	5237	5209	3811
4456	0.705	5407	1791	5237	5223	3817
4463	0.706	5407	1778	5237	5234	3822
4469	0.707	5407	1749	5237	5236	3826
4476	0.708	5407	1766	5237	5236	3833
4482	0.709	5407	1735	5237	5230	3838
4489	0.711	5407	1753	5237	5229	3845
4496	0.712	5407	1783	5237	5226	3852
4502	0.713	5407	1756	5237	5230	3857
4509	0.714	5407	1746	5237	5228	3862
4515	0.715	5407	1722	5237	5228	3868
4522	0.716	5407	1732	5237	5224	3874
4529	0.717	5407	1720	5237	5230	3879
4535	0.718	5407	1733	5237	5229	3883
4542	0.719	5407	1689	5237	5224	3888
4549	0.72	5407	1719	5237	5221	3895
4555	0.721	5407	1677	5237	5215	3901
4562	0.722	5407	1670	5237	5223	3905
4568	0.723	5407	1670	5237	5232	3910
4575	0.724	5407	1675	5237	5213	3915
4582	0.725	5407	1639	5237	5219	3921
4588	0.726	5407	1708	5237	5226	3927
4595	0.726	5407	1671	5237	5225	3930
4601	0.727	5407	1658	5237	5231	3936
4608	0.729	5407	1655	5237	5237	3942
4615	0.729	5407	1644	5237	5214	3947
4621	0.731	5407	1650	5237	5220	3953
4628	0.732	5407	1614	5237	5224	3959
4635	0.733	5407	1630	5237	5214	3965
4641	0.734	5407	1633	5237	5217	3969
4648	0.735	5407	1623	5237	5222	3975
4654	0.736	5407	1619	5237	5223	3980
4661	0.737	5407	1614	5237	5213	3986
4668	0.738	5407	1592	5237	5226	3992
4674	0.739	5407	1592	5237	5224	3997
4681	0.74	5407	1587	5237	5223	4004
4687	0.741	5407	1585	5237	5223	4009
4694	0.742	5407	1569	5237	5232	4014
4701	0.743	5407	1571	5237	5213	4021
